render_flow_id,year,origin_country_id,destination_country_id,origin_longitude,origin_latitude,destination_longitude,destination_latitude,commodity_id,commodity_group,quantity_tonnes,visual_magnitude,commodity_max_quantity_tonnes,unit_id,flow_mode,color_rgba,line_width,source_table,source_id,tooltip
rf_nf_2024_ammonia_NOR_USA_01118,2024,USA,NOR,-96.33161660829639,38.8208089190304,16.670259272390894,64.97775882947745,ammonia,fertilizer,274613.889,498649728.645,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",6.187,net_trade_flows,nf_2024_ammonia_NOR_USA_01118,"Ammonia: United States -> Norway | 274613.889 tonnes net | gross USA->NOR: 274613.889 t, reverse: 0 t"
rf_nf_2024_ammonia_LBY_MAR_01016,2024,LBY,MAR,17.91133392454237,27.202915771690794,-8.817212587250811,28.687598134979325,ammonia,fertilizer,268163,492758092.690,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",6.130,net_trade_flows,nf_2024_ammonia_LBY_MAR_01016,"Ammonia: Libya -> Morocco | 268163 tonnes net | gross LBY->MAR: 268163 t, reverse: 0 t"
rf_nf_2024_ammonia_DZA_TUR_00600,2024,DZA,TUR,2.6558464719769135,28.350969744889056,35.56886764076691,38.93207363123396,ammonia,fertilizer,263814.57,488746574.278,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",6.092,net_trade_flows,nf_2024_ammonia_DZA_TUR_00600,"Ammonia: Algeria -> Turkey | 263814.57 tonnes net | gross DZA->TUR: 263814.57 t, reverse: 0 t"
rf_nf_2024_ammonia_DEU_NLD_00537,2024,NLD,DEU,5.554136426128487,52.134054128923886,10.426171427430804,51.08304539800482,ammonia,fertilizer,260240.355,485424463.311,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",6.060,net_trade_flows,nf_2024_ammonia_DEU_NLD_00537,"Ammonia: Netherlands -> Germany | 260240.355 tonnes net | gross NLD->DEU: 263700.309 t, reverse: 3459.954 t"
rf_nf_2024_ammonia_CHN_IDN_00378,2024,IDN,CHN,113.96538246847302,0.15591979959037652,104.69113855849604,38.07325481105728,ammonia,fertilizer,259610.847,484836999.461,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",6.054,net_trade_flows,nf_2024_ammonia_CHN_IDN_00378,"Ammonia: Indonesia -> China | 259610.847 tonnes net | gross IDN->CHN: 259658.984 t, reverse: 48.137 t"
rf_nf_2024_ammonia_CHL_TTO_00364,2024,TTO,CHL,-61.37236579976247,10.415515638298093,-70.76863431739216,-37.82938283049967,ammonia,fertilizer,258744,484026881.315,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",6.047,net_trade_flows,nf_2024_ammonia_CHL_TTO_00364,"Ammonia: Trinidad and Tobago -> Chile | 258744 tonnes net | gross TTO->CHL: 258744 t, reverse: 0 t"
rf_nf_2024_ammonia_MAR_OMN_01039,2024,OMN,MAR,55.841088119829,20.7242833183209,-8.817212587250811,28.687598134979325,ammonia,fertilizer,254256.86,479811527.172,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",6.006,net_trade_flows,nf_2024_ammonia_MAR_OMN_01039,"Ammonia: Oman -> Morocco | 254256.86 tonnes net | gross OMN->MAR: 254256.86 t, reverse: 0 t"
rf_nf_2024_ammonia_IDN_IND_00853,2024,IDN,IND,113.96538246847302,0.15591979959037652,81.17300408530181,23.586300567746722,ammonia,fertilizer,252645.55,478288748.404,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",5.992,net_trade_flows,nf_2024_ammonia_IDN_IND_00853,"Ammonia: Indonesia -> India | 252645.55 tonnes net | gross IDN->IND: 252645.753 t, reverse: 0.203 t"
rf_nf_2024_ammonia_MYS_THA_01086,2024,MYS,THA,114.63330303992869,3.6716608556387857,101.08675116214552,13.66222784745538,ammonia,fertilizer,231227.329,457566182.083,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",5.793,net_trade_flows,nf_2024_ammonia_MYS_THA_01086,"Ammonia: Malaysia -> Thailand | 231227.329 tonnes net | gross MYS->THA: 231636.287 t, reverse: 408.958 t"
rf_nf_2024_ammonia_DEU_SWE_00556,2024,DEU,SWE,10.426171427430804,51.08304539800482,17.062431988004956,62.73420986108448,ammonia,fertilizer,182777.771,406814127.329,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",5.305,net_trade_flows,nf_2024_ammonia_DEU_SWE_00556,"Ammonia: Germany -> Sweden | 182777.771 tonnes net | gross DEU->SWE: 182777.816 t, reverse: 0.045 t"
