year,country_id,commodity_id,total_import_tonnes,total_export_tonnes,net_import_tonnes,net_export_tonnes,number_of_suppliers,largest_supplier_share,herfindahl_hirschman_index,notes
2024,DZA,ammonia,0.09,977221.507,0,977221.417,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,ECU,ammonia,456.618,0,456.618,0,5,0.992712,0.985504,HHI is calculated over direct import suppliers only
2024,EGY,ammonia,12.439,663831.502,0,663819.063,6,0.827639,0.700531,HHI is calculated over direct import suppliers only
2024,ERI,ammonia,11.311,0,11.311,0,2,0.999027,0.998057,HHI is calculated over direct import suppliers only
2024,ESP,ammonia,326269.413,108188.094,218081.319,0,18,0.307905,0.193725,HHI is calculated over direct import suppliers only
2024,EST,ammonia,2832.868,594.824,2238.044,0,13,0.867884,0.762316,HHI is calculated over direct import suppliers only
2024,ETH,ammonia,39.612,0,39.612,0,6,0.454408,0.351432,HHI is calculated over direct import suppliers only
2024,FIN,ammonia,91000.168,1259.972,89740.196,0,15,0.609348,0.450596,HHI is calculated over direct import suppliers only
2024,FJI,ammonia,3.494,0,3.494,0,2,0.726674,0.602762,HHI is calculated over direct import suppliers only
2024,FRA,ammonia,584365.139,149383.542,434981.597,0,25,0.222849,0.154031,HHI is calculated over direct import suppliers only
2024,FSM,ammonia,0.75,0,0.75,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,GAB,ammonia,14.933,0,14.933,0,3,0.412978,0.344123,HHI is calculated over direct import suppliers only
2024,GBR,ammonia,260560.329,146464.237,114096.092,0,20,0.591775,0.407604,HHI is calculated over direct import suppliers only
2024,GEO,ammonia,30.014,98.42,0,68.406,3,0.832945,0.721372,HHI is calculated over direct import suppliers only
2024,GHA,ammonia,74.906,0,74.906,0,7,0.314220,0.223500,HHI is calculated over direct import suppliers only
2024,GIB,ammonia,0.17,0,0.17,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,GIN,ammonia,24.524,0,24.524,0,5,0.742130,0.611369,HHI is calculated over direct import suppliers only
2024,GMB,ammonia,1.401,0,1.401,0,3,0.499643,0.453854,HHI is calculated over direct import suppliers only
2024,GNB,ammonia,0.876,0,0.876,0,2,0.753425,0.628448,HHI is calculated over direct import suppliers only
